,year,country,contcod,mean,region,gdpppp,pop,expgdp,xpo,mpo,gdp,openness,dfigdp,er,inf,nint,rint,democr2,m2gdp,kopen,expk,impk,rgdpch,open_ppp,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10
4164,1991,"Taiwan, China",TWN,,2.0,12311.0,20.454,,84387.0,77135.0,179400.0,0.9003456234931946,,26.815000534057617,3.5999999046325684,,,2.0,,0.8754549622535706,2520000000000.0,2310000000000.0,11696.201171875,0.7352840900421143,,,,,,,,,,
4165,1992,"Taiwan, China",TWN,,2.0,13028.0,20.636,,91353.0,87763.0,212170.0,0.8442098498344421,,25.163999557495117,4.5,,,2.0,,0.894290030002594,2690000000000.0,2600000000000.0,12431.615234375,0.7509891986846924,,,,,,,,,,
4166,1993,"Taiwan, China",TWN,6681.0,2.0,13726.0,20.823,,98092.0,94538.0,224290.0,0.8588434457778931,,26.386999130249023,2.9000000953674316,,,7.0,,0.8984565138816833,2890000000000.0,2810000000000.0,13211.0625,0.7546140551567078,0.37209999561309814,0.5105522871017456,0.6052985787391663,0.6969016790390015,0.7908995747566223,0.8949258923530579,1.0272414684295654,1.1992217302322388,1.4821134805679321,2.4210448265075684
4167,1994,"Taiwan, China",TWN,,2.0,14482.0,21.026,,105920.0,101940.0,244310.0,0.850804328918457,,26.457000732421875,4.099999904632568,,,7.0,,0.8735077381134033,3040000000000.0,2900000000000.0,14035.625,0.7330424785614014,,,,,,,,,,
4168,1995,"Taiwan, China",TWN,,2.0,15217.0,21.217,,126230.0,122030.0,264970.0,0.9369362592697144,,26.486000061035156,3.700000047683716,,,7.0,,0.9135388135910034,3410000000000.0,3190000000000.0,14784.8681640625,0.7662554979324341,,,,,,,,,,
4169,1996,"Taiwan, China",TWN,,2.0,15957.0,21.387,,131720.0,122300.0,279630.0,0.9084146618843079,,27.45800018310547,3.0999999046325684,,,8.0,,0.9140625,3640000000000.0,3380000000000.0,15589.103515625,0.7668266296386719,,,,,,,,,,
4170,1997,"Taiwan, China",TWN,,2.0,16820.0,21.67,,138870.0,132730.0,290170.0,0.9360030293464661,,28.702999114990234,0.8999999761581421,,,9.0,,0.9574077725410461,3970000000000.0,3850000000000.0,16433.77734375,0.7997266054153442,,,,,,,,,,
4171,1998,"Taiwan, China",TWN,9259.0,2.0,17467.0,21.82,,126950.0,124030.0,267190.0,0.939331591129303,,33.45600128173828,1.7000000476837158,,,9.0,,0.9537527561187744,4070000000000.0,4090000000000.0,17055.94140625,0.7985292673110962,0.37865859270095825,0.5123663544654846,0.6035208702087402,0.6920833587646484,0.7892860770225525,0.8958851099014282,1.0277568101882935,1.2030457258224487,1.4810454845428467,2.416135549545288
4172,1999,"Taiwan, China",TWN,,2.0,18299.0,22.173,,138380.0,130480.0,287880.0,0.9339308142662048,,32.27000045776367,0.20000000298023224,,,9.0,,,,,,,,,,,,,,,,
4173,2000,"Taiwan, China",TWN,,2.0,19248.0,22.34,,167910.0,160460.0,310100.0,1.058916449546814,,31.233999252319336,1.2999999523162842,,,9.0,,,,,,,,,,,,,,,,
4174,2001,,TWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4175,2002,,TWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4176,1975,Tanzania,TZA,,1.0,748.0,15.9,,,,,,,,,,,0.0,,0.6980280876159668,371000000000.0,1130000000000.0,578.037109375,,,,,,,,,,,
4177,1976,Tanzania,TZA,,1.0,762.0,16.396259999999998,,626.0,697.0,,,,,,,,0.0,,0.5872551202774048,475000000000.0,946000000000.0,633.472900390625,,,,,,,,,,,
4178,1977,Tanzania,TZA,,1.0,758.0,16.91215,,645.0,811.0,,,,,,,,0.0,,0.5591198205947876,412000000000.0,964000000000.0,628.0772094726562,,,,,,,,,,,
4179,1978,Tanzania,TZA,,1.0,738.0,17.44805,,606.0,1238.0,,,,,,,,0.0,,0.6770464181900024,397000000000.0,1330000000000.0,626.8529052734375,,,,,,,,,,,
4180,1979,Tanzania,TZA,,1.0,731.0,18.00426,,686.0,1198.0,,,,,,,,0.0,,0.5251631736755371,348000000000.0,1090000000000.0,655.2299194335938,,,,,,,,,,,
4181,1980,Tanzania,TZA,,1.0,726.0,18.581,,748.0,1384.0,,,,,,,,0.0,,0.5398039221763611,367000000000.0,1050000000000.0,605.697021484375,,,,,,,,,,,
4182,1981,Tanzania,TZA,,1.0,724.0,19.17849,,798.0,1313.0,,,,,,,,0.0,,0.507883608341217,445000000000.0,919000000000.0,602.854736328125,,,,,,,,,,,
4183,1982,Tanzania,TZA,,1.0,698.0,19.79693,,527.0,1145.0,,,,,,,,0.0,,0.389719158411026,311000000000.0,765000000000.0,601.471923828125,,,,,,,,,,,
