"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Finland","FIN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8","13.79","13.7","13.67","13.81","13.88","13.81","13.9","13.97","","","",
"Fiji","FJI","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.57","","","","","","10.13","","","","","","","",
"France","FRA","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.92","13.24","13.25","12.7","12.57","","12.4","12.5","12.62","","","",
"Faeroe Islands","FRO","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","","","","","","","","","","","","","","","",
"Gabon","GAB","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.06","","","","","","","","","","",
"United Kingdom","GBR","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.75","12.17","12.09","11.9","12.21","11.97","11.91","12.24","12.29","","","",
"Georgia","GEO","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.35","10.13","10.48","10.64","10.61","10.87","10.73","10.64","10.69","10.52","10.64","10.57","10.44","10.3","9.94","10.25","10.22","10.52","","",
"Ghana","GHA","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.72","11.54","","","10.92","","","","","","","10.32","","","","","","","9.89","","","","","","","","","","",
"Guinea","GIN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.29","","","8.79","","","","","","","","9.76","","","","","10.7","","","","","12.18","","","",
"Gambia, The","GMB","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","","","","","8.67","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.52","","","","","","","","","11.77","","","","","","","","8.3","","","","","",
"Equatorial Guinea","GNQ","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.28","12.01","11.9","12.29","12.48","12.48","12.25","12.11","11.67","","","",
"Grenada","GRD","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","6.18","","","5.68","","","","","","","","","","","7.23","","6.69","6.77","7.88","","6.99","","","","","7.77","","","","",
"Guam","GUM","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.71","","","","","","","","","","","","","","","","","",
"High income","HIC","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","6.67","","","5.87","6.25","7.72","7.8","7.41","6.97","6.82","6.75","7.44","6.37","6.81","","7.04","5.75","5.86","5.89","5.73","6.16","6.59","6.76","7.54","7.13","6.54","6.52","7.2","","",
"Heavily indebted poor countries (HIPC)","HPC","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.18","","","","","","","","","","13.36","13.79","12.67","12.68","","","13.15","","","","12.36","12.37","13.77","12.86","","","","",
"Haiti","HTI","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.15","","","","","","","","","","","5.49","","","",
"Hungary","HUN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.39","","14.22","","","","13.77","","","","","14.05","13.83","13.89","13.96","13.94","12.93","13.14","13.04","13.79","12.92","13.95","14.08","13.4","13.8","13.35","","","",
"Indonesia","IDN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","12.93","","","13.17","","","13.18","","","13.16","","","12.67","","","13.35","","","13.03","","","12.03","","","11.87","","11.33","","","","","",
"Isle of Man","IMN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","12.76","","","","12.58","","","","","","12.82","","","","","","","","","","","12.22","","","","","12.14","","11.79","","","","",
"Not classified","INX","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.38","12.39","12.44","12.77","13","12.64","12.72","12.78","12.65","","","",
"Iran, Islamic Rep.","IRN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","","","","9.56","","","","9.66","","","","9.32","","","","","","","10.91","","","","9.79","","","","11.07","","",
"Iraq","IRQ","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.13","","","",
"Iceland","ISL","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.96","13.64","13.35","13.56","12.95","13.76","14.42","14.12","14.21","","","",
"Israel","ISR","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","11.08","","","","","","11.44","","","","","10.72","","","","10.47","","","","9.89","","9.96","","","9.62","","","","","",
"Italy","ITA","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.31","12.41","12.34","12.58","12.39","12.53","12.52","12.41","12.28","","","",
"Jamaica","JAM","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.78","","10.16","","","11.66","","","10.55","","","9.77","","","8.43","","9.23","","","","","","","","","","","",
"Jordan","JOR","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","11.23","","","","","","9.7","","","","","11.43","","","","","11.29","","","","12.18","","12.37","","12.11","","","","","",
"Japan","JPN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.88","","","","","","","",
"Kazakhstan","KAZ","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","","","","12.32","","","11.51","","","","","11.65","11.93","12.05","12.56","13.06","13.17","13.45","13.26","13.34","13.36","13.57","13.5","13.82","","",
"Kenya","KEN","Income share held by second 20%","SI.DST.02ND.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.72","","9.85","","","9.01","","","","","","","","8.65","","","","","","","","","","",
