country,year,gini_net,gini_market,rel_red,abs_red
Thailand,2005,44.293586730957,43.8305282592773,-1.05647480487823,-0.463058471679688
Thailand,2006,43.7902870178223,42.9800796508789,-1.88507652282715,-0.810207366943359
Thailand,2007,42.946662902832,42.7363357543945,-0.492150634527206,-0.2103271484375
Thailand,2008,42.1030349731445,42.4925956726074,0.91677314043045,0.389560699462891
Thailand,2009,38.6627426147461,41.148265838623,6.04040813446045,2.48552322387695
Thailand,2010,40.1228256225586,44.0388412475586,8.89218616485596,3.916015625
Thailand,2011,36.0416870117188,38.7220611572266,6.92208528518677,2.68037414550781
Timor-Leste,2001,40.6389083862305,41.5525512695312,,
Timor-Leste,2002,39.1730651855469,40.5942726135254,,
Timor-Leste,2003,37.7072219848633,39.6359939575195,,
Timor-Leste,2004,36.2413749694824,38.6777114868164,,
Timor-Leste,2005,34.7755317687988,37.7194328308105,,
Timor-Leste,2006,33.3096885681152,36.7611541748047,,
Timor-Leste,2007,31.843843460083,35.8028755187988,,
Togo,2005,35.7351036071777,36.1681671142578,,
Togo,2006,36.8176002502441,33.9981498718262,,
Togo,2007,37.4738922119141,34.9628105163574,,
Togo,2008,38.130184173584,35.9274749755859,,
Togo,2009,38.7864761352539,36.8921356201172,,
Togo,2010,39.4427680969238,37.8568000793457,,
Togo,2011,40.0990600585938,38.821460723877,,
Trinidad and Tobago,1971,54.8563613891602,51.435115814209,,
Trinidad and Tobago,1976,49.2246742248535,47.3825263977051,,
Trinidad and Tobago,1981,43.8413505554199,44.8498687744141,,
Trinidad and Tobago,1988,39.5828285217285,39.4743957519531,,
Trinidad and Tobago,1989,39.7917633056641,41.0139465332031,,
Trinidad and Tobago,1990,40.0006942749023,42.5534934997559,,
Trinidad and Tobago,1991,40.2096252441406,44.0930404663086,,
Trinidad and Tobago,1992,40.4185600280762,45.6325912475586,,
Trinidad and Tobago,1993,40.1817245483398,42.7453193664551,,
Trinidad and Tobago,1994,39.9448928833008,39.8580474853516,,
Trinidad and Tobago,1995,40.1027679443359,40.0509452819824,,
Trinidad and Tobago,1996,40.2606430053711,40.2438430786133,,
Trinidad and Tobago,1997,40.4185180664062,40.4367408752441,,
Trinidad and Tobago,1998,40.5763931274414,40.629638671875,,
Trinidad and Tobago,1999,40.7342681884766,40.8225364685059,,
Trinidad and Tobago,2000,40.892147064209,41.0154342651367,,
Trinidad and Tobago,2001,41.0500221252441,41.2083320617676,,
Trinidad and Tobago,2002,41.2078971862793,41.4012298583984,,
Trinidad and Tobago,2003,41.3657722473145,41.5941276550293,,
Trinidad and Tobago,2004,41.5236473083496,41.7870254516602,,
Trinidad and Tobago,2005,41.6815223693848,41.979923248291,,
Tunisia,1965,55.9203872680664,50.5959396362305,,
