code,year,gini_DS,quality,GDP_PWT,GDP_PC_PWT,gov_consumption_WB,years_schooling,democracy_index,GDP_MP_WB,GDP_growth_WB,inflation_WB,fertility_WB,dummy_africa,dummy_latin_america,openness
AFG,2013.0,,,,,12.008080045783998,,,12682158099.7345,1.95912289917285,7.65431656732282,5.05,0.0,0.0,0.5606566993609169
AFG,2014.0,,,,,12.765213567166299,,,12848615344.5738,1.3125309078333602,4.60433400900553,,0.0,0.0,0.5287356360595896
AGO,1950.0,,,,,,,,,,,,1.0,0.0,
AGO,1951.0,,,,,,,,,,,,1.0,0.0,
AGO,1952.0,,,,,,,,,,,,1.0,0.0,
AGO,1953.0,,,,,,,,,,,,1.0,0.0,
AGO,1954.0,,,,,,,,,,,,1.0,0.0,
AGO,1955.0,,,,,,,,,,,,1.0,0.0,
AGO,1956.0,,,,,,,,,,,,1.0,0.0,
AGO,1957.0,,,,,,,,,,,,1.0,0.0,
AGO,1958.0,,,,,,,,,,,,1.0,0.0,
AGO,1959.0,,,,,,,,,,,,1.0,0.0,
AGO,1960.0,,,,,,,,,,,7.379,1.0,0.0,
AGO,1961.0,,,,,,,,,,,7.388,1.0,0.0,
AGO,1962.0,,,,,,,,,,,7.396,1.0,0.0,
AGO,1963.0,,,,,,,,,,,7.402,1.0,0.0,
AGO,1964.0,,,,,,,,,,,7.406000000000001,1.0,0.0,
AGO,1965.0,,,,,,,,,,,7.4079999999999995,1.0,0.0,
AGO,1966.0,,,,,,,,,,,7.406000000000001,1.0,0.0,
AGO,1967.0,,,,,,,,,,,7.401,1.0,0.0,
AGO,1968.0,,,,,,,,,,,7.394,1.0,0.0,
AGO,1969.0,,,,,,,,,,,7.385,1.0,0.0,
AGO,1970.0,,,19026.0,3210.4169644196504,,,,,,,7.375,1.0,0.0,
AGO,1971.0,,,20159.9140625,3333.4646324674227,,,,,,,7.367000000000001,1.0,0.0,
AGO,1972.0,,,20201.865234375,3269.076859803534,,,,,,,7.36,1.0,0.0,
AGO,1973.0,,,21853.66015625,3456.657634398755,,,,,,,7.355,1.0,0.0,
AGO,1974.0,,,22599.8046875,3490.427294929447,,,,,,,7.352,1.0,0.0,
AGO,1975.0,,,21334.76953125,3214.3171210450932,,,0.0,,,,7.35,1.0,0.0,
AGO,1976.0,,,20213.23828125,2968.6714028433585,,,0.0,,,,7.349,1.0,0.0,
AGO,1977.0,,,20461.1796875,2927.212419749505,,,0.0,,,,7.347,1.0,0.0,
AGO,1978.0,,,19407.771484375,2701.080540185588,,,0.0,,,,7.343,1.0,0.0,
AGO,1979.0,,,19719.537109375,2664.7191296291967,,,0.0,,,,7.337000000000001,1.0,0.0,
AGO,1980.0,,,19247.05078125,2519.7685884319008,,,0.0,,,,7.329,1.0,0.0,
AGO,1981.0,,,19093.98046875,2415.9295718926414,,,0.0,,,,7.319,1.0,0.0,
AGO,1982.0,,,19264.37109375,2351.6726772186344,,,0.0,,,,7.309,1.0,0.0,
AGO,1983.0,,,20028.244140625,2358.572087440981,,,0.0,,,,7.2989999999999995,1.0,0.0,
AGO,1984.0,,,22497.75,2560.4462313973513,,,0.0,,,,7.289,1.0,0.0,
AGO,1985.0,,,22171.19140625,2445.649967012525,50.0,,0.0,,,,7.279,1.0,0.0,1.0
AGO,1986.0,,,22426.5234375,2405.621148451872,50.0,,0.0,,2.80000000794205,,7.268,1.0,0.0,1.0
AGO,1987.0,,,25664.953125,2683.83359061513,50.0,,0.0,,7.9000000036750695,,7.256,1.0,0.0,1.0
AGO,1988.0,,,25415.916015625,2593.5455051210856,50.0,,0.0,,5.599999980707481,,7.242000000000001,1.0,0.0,1.0
AGO,1989.0,,,25968.927734375,2583.313071613947,33.3333333333333,,0.0,,0.4000000189286789,,7.226,1.0,0.0,0.666666666666666
AGO,1990.0,,,27311.734375,2642.6315392510846,33.3333333333333,,0.0,,-0.30000001868903303,,7.207999999999999,1.0,0.0,0.666666666666666
AGO,1991.0,,,29188.0546875,2739.758163150848,50.0,,0.0,,-1.1999999941671298,,7.187,1.0,0.0,0.5
AGO,1992.0,,,30681.615234375,2788.5000635627302,42.3076923076923,,0.0,,-6.89999999409613,,7.164,1.0,0.0,1.4230769230769231
AGO,1993.0,,,21642.962890625,1903.2218339855347,41.635687732342,,0.0,,-24.699999998210203,,7.138999999999999,1.0,0.0,1.0929368029739779
AGO,1994.0,,,24995.916015625,2128.5873421713945,40.099967752337996,,0.0,,3.50000000645207,,7.112,1.0,0.0,1.6120606256046444
AGO,1995.0,,,28955.193359375,2391.982007539381,,,0.0,,10.4000000010498,,7.082999999999999,1.0,0.0,
AGO,1996.0,,,32531.1953125,2612.375629631266,,,0.0,,11.1999999707573,4145.107647384601,7.051,1.0,0.0,1.521100715386006
AGO,1997.0,,,35976.7109375,2812.386210285191,,,0.0,,7.900000022155111,219.17672117297403,7.017,1.0,0.0,1.376737442094777
AGO,1998.0,,,30670.751953125,2334.4598356879696,,,0.0,,6.80476210543175,107.284821528298,6.981,1.0,0.0,1.2986749949837348
AGO,1999.0,,,39864.609375,2950.4043292510314,,,0.0,,3.23979967713839,248.195902412868,6.943,1.0,0.0,1.789937854522159
AGO,1999.0,,,39864.609375,2950.4043292510314,,,0.0,,3.23979967713839,248.195902412868,6.943,1.0,0.0,1.789937854522159
AGO,2000.0,,,32284.107421875,2318.199248424195,42.5058138177581,,0.0,,3.01207616575117,324.996871601321,6.905,1.0,0.0,1.5245565252585198
AGO,2000.0,,,32284.107421875,2318.199248424195,42.5058138177581,,0.0,,3.01207616575117,324.996871601321,6.905,1.0,0.0,1.5245565252585198
AGO,2001.0,,,30731.19140625,2135.8542019616852,25.154632724335798,,,,4.22096515556321,152.561022469299,6.8660000000000005,1.0,0.0,1.5033550642582751
AGO,2002.0,,,37226.92578125,2500.0497486681757,19.130578537237803,,,,13.821792512288301,108.897436089429,6.829,1.0,0.0,1.0530174260014868
AGO,2003.0,,,38216.3125,2478.3692455931905,21.8542597859949,,,,,98.22371770416491,6.792000000000001,1.0,0.0,1.039012295513718
AGO,2004.0,,,42518.26171875,2664.475531741894,14.3120629446155,,,,,43.5419472520537,6.755,1.0,0.0,1.03579947051466
AGO,2005.0,,,52943.3203125,3210.8225414049753,16.029037175330302,,,36970918699.2523,,22.963744439455,6.716,1.0,0.0,1.065909621295252
